run_id	phase	setting	shift_family	severity	application_mode	shift_seed	max_samples
phase1full_clean_all_latency_det_s1_all_shifted_seed0	phase1full	clean_all	latency_det	s1	all_shifted	0	
phase1full_clean_all_latency_det_s1_vehicle_shifted_only_seed0	phase1full	clean_all	latency_det	s1	vehicle_shifted_only	0	
phase1full_clean_all_latency_det_s2_vehicle_shifted_only_seed0	phase1full	clean_all	latency_det	s2	vehicle_shifted_only	0	
phase1full_clean_all_latency_det_s3_rsu_shifted_only_seed0	phase1full	clean_all	latency_det	s3	rsu_shifted_only	0	
phase1full_clean_all_latency_det_stress_rsu_shifted_only_seed0	phase1full	clean_all	latency_det	stress	rsu_shifted_only	0	
phase1full_clean_all_latency_jitter_s1_all_shifted_seed0	phase1full	clean_all	latency_jitter	s1	all_shifted	0	
phase1full_clean_all_latency_jitter_s1_vehicle_shifted_only_seed0	phase1full	clean_all	latency_jitter	s1	vehicle_shifted_only	0	
phase1full_clean_all_latency_jitter_s2_vehicle_shifted_only_seed0	phase1full	clean_all	latency_jitter	s2	vehicle_shifted_only	0	
phase1full_clean_all_latency_jitter_s3_rsu_shifted_only_seed0	phase1full	clean_all	latency_jitter	s3	rsu_shifted_only	0	
phase1full_clean_all_latency_jitter_stress_rsu_shifted_only_seed0	phase1full	clean_all	latency_jitter	stress	rsu_shifted_only	0	
phase1full_clean_all_frame_lost_hold_s1_all_shifted_seed0	phase1full	clean_all	frame_lost_hold	s1	all_shifted	0	
phase1full_clean_all_frame_lost_hold_s1_vehicle_shifted_only_seed0	phase1full	clean_all	frame_lost_hold	s1	vehicle_shifted_only	0	
phase1full_clean_all_frame_lost_hold_s2_vehicle_shifted_only_seed0	phase1full	clean_all	frame_lost_hold	s2	vehicle_shifted_only	0	
phase1full_clean_all_frame_lost_hold_s3_rsu_shifted_only_seed0	phase1full	clean_all	frame_lost_hold	s3	rsu_shifted_only	0	
phase1full_clean_all_frame_lost_hold_stress_rsu_shifted_only_seed0	phase1full	clean_all	frame_lost_hold	stress	rsu_shifted_only	0	
phase1full_clean_all_frame_lost_zero_s1_all_shifted_seed0	phase1full	clean_all	frame_lost_zero	s1	all_shifted	0	
phase1full_clean_all_frame_lost_zero_s1_vehicle_shifted_only_seed0	phase1full	clean_all	frame_lost_zero	s1	vehicle_shifted_only	0	
phase1full_clean_all_frame_lost_zero_s2_vehicle_shifted_only_seed0	phase1full	clean_all	frame_lost_zero	s2	vehicle_shifted_only	0	
phase1full_clean_all_frame_lost_zero_s3_rsu_shifted_only_seed0	phase1full	clean_all	frame_lost_zero	s3	rsu_shifted_only	0	
